id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
6,OSS2,6,turbine,43.14364986414914,-69.51670822507242,0.0,0.0,0.0,0.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,-1359.226723,-11815.0,-1359.226723,-11815.0,1.6724816634162094,0
72,OSS1,72,turbine,43.24791265309518,-69.39955389389058,0.0,0.0,0.0,0.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8157.466981,-227.0,8157.466981,-227.0,1.6724820296616656,0
5,OSS2,5,turbine,43.14364620358533,-69.53341949925367,0.0,1.0,0.0,1.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,-2718.701663,-11815.0,-2718.701663,-11815.0,1.67248233486858,0
71,OSS1,71,turbine,43.24792612661993,-69.4162936253732,0.0,1.0,0.0,1.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6797.992041,-227.0,6797.992041,-227.0,1.672482579028269,0
4,OSS2,4,turbine,43.14364010234996,-69.55013076925708,0.0,2.0,0.0,2.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,-4078.176603,-11815.0,-4078.176603,-11815.0,1.6724827621474023,0
70,OSS1,70,turbine,43.24793715062151,-69.4330333673687,0.0,2.0,0.0,2.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5438.517101,-227.0,5438.517101,-227.0,1.672482884222215,0
3,OSS2,3,turbine,43.14363156044514,-69.5668420329935,0.0,3.0,0.0,3.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,-5437.651543,-11815.0,-5437.651543,-11815.0,17.76676351067906,0
69,OSS1,69,turbine,43.24794572509608,-69.44977311777474,0.0,3.0,0.0,3.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4079.042161,-227.0,4079.042161,-227.0,17.713968344896433,0
2,OSS2,2,turbine,43.14362057787381,-69.58355328837386,0.0,4.0,0.0,4.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,-6797.126483,-11815.0,-6797.126483,-11815.0,1.6724829452428156,0
68,OSS1,68,turbine,43.24795185004072,-69.46651287448893,0.0,4.0,0.0,4.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2719.567221,-227.0,2719.567221,-227.0,1.672482884187691,0
1,OSS2,1,turbine,43.14360715463975,-69.60026453330903,0.0,5.0,0.0,5.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,-8156.601423,-11815.0,-8156.601423,-11815.0,1.6724827620915823,0
67,OSS1,67,turbine,43.24795552545328,-69.48325263540885,0.0,5.0,0.0,5.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,1360.092281,-227.0,1360.092281,-227.0,1.67248257895012,0
0,OSS2,0,turbine,43.1435912907476,-69.61697576570994,0.0,6.0,0.0,6.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,-9516.076363,-11815.0,-9516.076363,-11815.0,1.6724823347670723,0
66,OSS1,66,turbine,43.247956751332495,-69.49999239843213,0.0,6.0,0.0,6.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,0.617341,-227.0,0.617341,-227.0,1.6724820295409226,0
7,OSS2,7,turbine,43.14365108404013,-69.49999694880243,1.0,0.0,1.0,0.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,0.248217,-11815.0,0.248217,-11815.0,19.518305896208133,0
73,OSS1,73,turbine,43.2478967300519,-69.38281417502327,1.0,0.0,1.0,0.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9516.941921,-227.0,9516.941921,-227.0,1.6724795958236505,0
8,OSS2,8,turbine,43.143649863257885,-69.48328567253283,1.0,1.0,1.0,1.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,1359.723157,-11815.0,1359.723157,-11815.0,1.6724799620596698,0
74,OSS1,74,turbine,43.27397281094415,-69.61721950031074,1.0,1.0,1.0,1.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,-9515.614958,2670.0,-9515.614958,2670.0,1.6724802672561672,0
9,OSS2,9,turbine,43.14364620180282,-69.46657439835273,1.0,2.0,1.0,2.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2719.198097,-11815.0,2719.198097,-11815.0,1.6724805114096255,0
75,OSS1,75,turbine,43.27398874602404,-69.60047263598183,1.0,2.0,1.0,2.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,-8156.140018,2670.0,-8156.140018,2670.0,1.6724806945194923,0
10,OSS2,10,turbine,43.143640099676205,-69.44986312835124,1.0,3.0,1.0,3.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4078.673037,-11815.0,4078.673037,-11815.0,15.065882170404132,0
