id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
42,OSS1,42,turbine,39.9395541759544,-72.46769362174734,0.0,0.0,0.0,0.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2761.197255,-6711.04501,2761.197255,-6711.04501,1.929378726290327,0
49,OSS2,49,turbine,40.05303813755385,-72.46763548763899,0.0,0.0,0.0,0.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2761.591115,5889.599054,2761.591115,5889.599054,1.929373670532197,0
29,OSS1,29,turbine,39.93332302072496,-72.44393211092071,0.0,1.0,0.0,1.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4792.507042,-7401.906001,4792.507042,-7401.906001,2.26776623960524,0
36,OSS2,36,turbine,40.04680706731715,-72.4438346347753,0.0,1.0,0.0,1.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4792.900902,5198.738062,4792.900902,5198.738062,1.929363557542128,0
15,OSS1,15,turbine,39.92708699313392,-72.42017491584535,0.0,2.0,0.0,2.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6823.816829,-8092.766993,6823.816829,-8092.766993,1.9293585003108988,0
22,OSS2,22,turbine,40.04057110522646,-72.42003812221603,0.0,2.0,0.0,2.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6824.210688,4507.877071,6824.210688,4507.877071,2.437452801999341,0
16,OSS1,16,turbine,39.943299145613416,-72.42015542068955,0.0,3.0,0.0,3.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6823.873094,-6292.674984,6823.873094,-6292.674984,2.437449641216076,0
23,OSS2,23,turbine,40.05678293924371,-72.4200185177479,0.0,3.0,0.0,3.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6824.266954,6307.96908,6824.266954,6307.96908,1.9293433256972248,0
2,OSS1,2,turbine,39.937058255456535,-72.3963969454811,0.0,4.0,0.0,4.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8855.182881,-6983.535976,8855.182881,-6983.535976,1.9293382665212293,0
9,OSS2,9,turbine,40.05054209508092,-72.39622071779188,0.0,4.0,0.0,4.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8855.576741,5617.108088,8855.576741,5617.108088,2.267749298559847,0
1,OSS1,1,turbine,39.92084609639253,-72.39642204027979,0.0,5.0,0.0,5.0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8855.126615,-8783.627985,8855.126615,-8783.627985,2.267746877466175,0
